source,rg_ratio,lab_a,mean_r,mean_g,mean_b,label
eyes,1.155792,142.709814,209.6154,181.3607,207.252,1
eyes,1.002884,128.005355,4.0248,4.0133,4.0191,1
eyes,1.845584,140.186576,58.8424,31.8828,42.5038,1
eyes,1.845584,140.186576,58.8424,31.8828,42.5038,1
eyes,0.926094,133.389473,130.3592,140.7623,179.382,1
eyes,1.752685,137.646582,49.5756,28.2855,36.8406,1
eyes,1.879176,135.28236,35.041,18.647,24.4332,1
eyes,1.753088,137.647653,49.5667,28.2739,36.8288,1
eyes,2.164064,163.598553,142.3508,65.7794,94.1389,0
eyes,1.568958,141.927729,76.8765,48.9984,67.0797,0
eyes,1.568958,141.927729,76.8765,48.9984,67.0797,0
eyes,1.594887,133.00334,27.9244,17.5087,22.7795,0
eyes,0.965165,134.753969,81.6104,84.5559,115.5173,0
eyes,1.470068,136.543481,53.3416,36.2851,47.2451,0
eyes,1.470068,136.543481,53.3416,36.2851,47.2451,0
eyes,1.623717,130.703027,15.5007,9.5464,11.6182,0
eyes,1.459472,156.730844,169.874,116.3942,162.7707,1
eyes,1.472396,156.470833,162.3194,110.2417,156.8236,1
eyes,1.454031,156.684282,170.3266,117.1409,163.9268,1
eyes,1.453512,156.680217,170.6301,117.3916,164.1003,1
eyes,1.003604,134.855608,132.5078,132.032,161.4914,1
eyes,1.509398,135.47902,45.3297,30.0317,38.2531,1
eyes,1.509845,135.480629,45.3123,30.0112,38.2331,1
eyes,1.580285,132.077039,24.2333,15.3348,18.7978,1
eyes,0.937203,133.678604,115.4393,123.1742,155.6463,0
eyes,1.413319,133.095007,33.5754,23.7565,30.7777,0
eyes,1.413319,133.095007,33.5754,23.7565,30.7777,0
eyes,1.539644,130.696621,16.5193,10.7293,13.4096,0
eyes,0.912513,129.776701,137.3535,150.5222,179.4161,0
eyes,1.257874,132.176912,36.5225,29.0351,36.6105,0
eyes,1.374765,137.731583,68.4687,49.8039,63.89,0
eyes,1.385278,136.843144,60.949,43.9976,56.7343,0
eyes,1.041447,135.783214,198.2066,190.3184,216.0741,1
eyes,1.728558,143.650944,83.084,48.0655,62.2719,1
eyes,1.72898,143.656754,83.0989,48.0624,62.2694,1
eyes,1.781221,137.611209,50.3044,28.2415,35.7795,1
eyes,1.360038,149.522268,153.5177,112.8775,142.7846,1
eyes,1.030534,134.456401,220.6299,214.0928,236.5937,1
eyes,1.030534,134.456401,220.6299,214.0928,236.5937,1
eyes,1.964051,135.02254,32.1606,16.3746,21.9156,1
eyes,0.975912,131.916128,148.4222,152.0856,175.9707,0
eyes,1.660685,137.237676,49.5952,29.8643,39.8337,0
eyes,1.208608,143.852222,175.0011,144.7956,169.8389,0
eyes,1.208608,143.852222,175.0011,144.7956,169.8389,0
eyes,0.902295,133.466483,112.6824,124.8843,164.5484,0
eyes,1.138874,128.337128,5.06,4.443,4.8502,0
eyes,1.67645,130.869997,14.2658,8.5096,10.4916,0
eyes,1.67645,130.869997,14.2658,8.5096,10.4916,0
eyes,1.34046,148.213317,142.0513,105.972,136.9322,1
eyes,1.821346,143.903922,73.694,40.4613,57.4279,1
eyes,1.821939,143.905301,73.6754,40.4379,57.4034,1
eyes,1.915961,136.710779,39.8689,20.8088,28.2609,1
eyes,1.181303,141.230432,108.9718,92.2471,122.7414,0
eyes,1.021648,134.976827,201.6907,197.4171,225.7228,0
eyes,1.021648,134.976827,201.6907,197.4171,225.7228,0
eyes,1.371153,128.769151,6.5981,4.8121,5.1886,0
eyes,0.972662,134.127545,114.4634,117.6806,147.0529,0
eyes,1.503862,134.542997,39.0523,25.968,34.747,0
eyes,1.680089,158.586957,142.5902,84.8707,128.1076,0
eyes,1.680089,158.586957,142.5902,84.8707,128.1076,0
eyes,0.974099,136.078767,98.1755,100.786,138.3292,0
eyes,1.519497,135.030115,41.9821,27.6289,35.431,0
eyes,1.519932,135.031788,41.9701,27.6131,35.415,0
eyes,1.645356,131.956988,22.3095,13.5591,16.6583,0
eyes,0.879993,131.970012,72.3703,82.2396,111.5058,0
eyes,1.644782,137.461629,51.4993,31.3107,39.7016,0
eyes,1.645631,137.471645,51.5157,31.3045,39.6993,0
eyes,1.825811,133.956343,29.5956,16.2096,19.7983,0
eyes,0.988042,134.250588,110.1938,111.5274,138.8935,1
eyes,1.462589,158.029167,184.8042,126.3542,172.4583,1
eyes,1.432545,158.104167,197.4167,137.8083,184.4958,1
eyes,1.432545,158.104167,197.4167,137.8083,184.4958,1
eyes,0.962424,133.175029,68.4635,71.1365,95.0274,0
eyes,1.178899,144.367284,197.3673,167.4167,197.5494,0
eyes,1.646161,158.351515,153.9447,93.5174,131.4894,0
eyes,1.630779,131.995838,22.3303,13.693,17.2713,0
eyes,0.914203,133.082581,58.6949,64.2034,91.4245,0
eyes,1.417047,142.384668,88.6165,62.5361,84.8412,0
eyes,1.417183,142.386898,88.6146,62.5287,84.8322,0
eyes,1.624079,134.516897,34.8142,21.4362,28.6727,0
eyes,0.989096,134.590276,130.3112,131.7478,162.702,0
eyes,1.455038,136.848455,55.2181,37.9496,50.6922,0
eyes,1.597974,146.636923,102.502,64.145,86.2116,0
eyes,1.597974,146.636923,102.502,64.145,86.2116,0
eyes,1.015119,136.812563,176.7366,174.1044,212.6251,0
eyes,1.823298,139.090811,52.1227,28.587,39.8105,0
eyes,1.824089,139.093486,52.1084,28.5668,39.7903,0
eyes,1.9923,134.472164,29.3289,14.7211,19.7387,0
eyes,0.983557,134.754367,122.3993,124.4455,156.0737,0
eyes,1.217043,128.821689,9.1994,7.5588,8.4255,0
eyes,1.217043,128.821689,9.1994,7.5588,8.4255,0
eyes,1.16539,128.349286,5.456,4.6817,4.9041,0
eyes,0.895272,134.312727,80.9782,90.4509,128.4073,0
eyes,1.168665,142.074663,165.1236,141.2925,166.8311,0
eyes,1.168665,142.074663,165.1236,141.2925,166.8311,0
eyes,2.078887,134.940752,30.256,14.5539,18.5722,0
eyes,1.257295,150.989899,225.4495,179.3131,217.3333,0
eyes,1.510395,134.386282,37.1546,24.5993,33.7116,0
eyes,1.627582,143.106406,78.7589,48.3901,67.886,0
eyes,1.620141,143.106446,79.4465,49.0368,68.5521,0
eyes,0.957294,129.535869,193.7258,202.3682,224.7969,0
eyes,1.682956,143.805389,80.164,47.6328,65.7115,0
eyes,1.683214,143.806196,80.1516,47.6182,65.6942,0
eyes,1.960721,133.602064,25.4654,12.9878,17.05,0
eyes,1.685413,163.47033,176.4652,104.7015,152.3227,0
eyes,1.677917,159.710875,162.0637,96.5862,132.5942,0
eyes,1.644811,159.259048,164.3276,99.9067,136.0552,0
eyes,1.575464,163.016667,196.1125,124.4792,173.025,0
eyes,1.27688,152.206818,219.5924,171.9758,212.925,0
eyes,1.434427,133.375626,35.1505,24.5049,31.6174,0
eyes,1.607975,142.138185,77.1556,47.9831,63.0453,0
eyes,1.607975,142.138185,77.1556,47.9831,63.0453,0
eyes,2.459541,162.208876,122.601,49.8471,83.3558,0
eyes,2.282917,161.631757,126.8176,55.5507,89.0608,0
eyes,2.691114,162.98545,119.9325,44.5661,77.3175,0
eyes,1.717001,162.35809,182.9324,106.5418,137.366,0
eyes,1.451215,159.574035,203.4063,140.1628,188.2681,0
eyes,1.843359,142.72119,66.7456,36.2087,52.8462,0
eyes,1.844481,142.753189,66.858,36.2476,52.9191,0
eyes,1.962245,133.642835,25.4645,12.9772,17.0535,0
eyes,0.842897,133.611182,76.8204,91.1386,130.3946,0
